คำไทย,POS,คำแปล,sense
ประเทศทางตะวันตก,NCMN,west,1
อาณาจักรกรีก,NCMN,greece,2
อะกอรา,NCMN,agora,2
โรมัน,NCMN,roman,2
สถานที่ตั้ง,NCMN,location,1
สินค้าตามฤดูกาล,NCMN,,
หน้าที่ใช้สอบ,NCMN,,
เสื้อขนสัตว์,NCMN,sweater,1
หนังสัตว์,NCMN,leather,1
เมล็ดพืช,NCMN,seed,2
คริสต์ศตวรรษ,ADVP,,
ที่อยู่อาศัย,NCMN,dwelling,1
สถานที่ค้าขาย,NCMN,,
ยอร์กเชียร์,NPRP,Yorkshire,1
การปฏิวัติอุตสาหกรรม,NPRP,industrial revolution,1
ประเทศอังกฤษ,NPRP,England,1
รัฐ,NCMN,state,1
เยอรมัน,NPRP,germany,1
จุดแลกเปลี่ยน,NCMN,exchange,6
อาหารข้น,NCMN,concentrate,2
เดือน,NCMN,calendar month,1
ผู้รับประทาน,NCMN,eater,1
ผู้เข้าร่วมคอนเสิร์ต,NCMN,concert-goer,1
เขตสงวน,NCMN,reservation,1
พืชผัก,NCMN,produce,1
เสื้อแยกต่างหาก,NCMN,separate,2
ผ้าสักหลาด,NCMN,felt,1
ผ้าใบอะคริลิก,NCMN,acrylic,4
อุปทาน,NCMN,supply,1
สมัยฟื้นฟูศิลปวิทยา,NPRP,renaissance,1
ยุคกลาง,NPRP,middle ages,1
อำนาจ,NCMN,influence,1
รูปลักษณ์,NCMN,look,3
วันนี้,NCMN,today,2
ตัวละลาย,NCMN,solvating agent,1
